Job ID,Job Title,Min Salary,Max Salary,Avg Salary,Hourly,Job Description,Company,Location,Rating,Headquarters,Size,Size Class,Founded,Age,Type Of Ownership,Competitors,Industry,Sector,Revenue,Revenue Class,Same State,Python,R,Spark,AWS,Excel,Job Simp,Skills Count
0,Data Scientist,53000,91000,72000,0,"Data Scientist
Location: Albuquerque, NM
Education Required: Bachelor’s degree required, preferably in math, engineering, business, or the sciences.
Skills Required:
Bachelor’s Degree in relevant field, e.g., math, data analysis, database, computer science, Artificial Intelligence (AI); three years’ experience credit for Master’s degree; five years’ experience credit for a Ph.D
Applicant should be proficient in the use of Power BI, Tableau, Python, MATLAB, Microsoft Word, PowerPoint, Excel, and working knowledge of MS Access, LMS, SAS, data visualization tools, and have a strong algorithmic aptitude
Excellent verbal and written communication skills, and quantitative analytical skills are required
Applicant must be able to work in a team environment
U.S. citizenship and ability to obtain a DoD Secret Clearance required
Responsibilities: The applicant will be responsible for formulating analytical solutions to complex data problems; creating data analytic models to improve data metrics; analyzing customer be...",Tecolote Research,"Albuquerque, NM",3.8,"Goleta, CA",501 to 1000 employees,Class D,1973,50,Company - Private,-1,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),Class 7,0,1,0,0,0,1,data scientist,2
1,Healthcare Data Scientist,63000,112000,87500,0,"What You Will Do:

I. General Summary

The Healthcare Data Scientist position will join our Advanced Analytics group at the University of Maryland Medical System (UMMS) in support of its strategic priority to become a data-driven and outcomes-oriented organization. The successful candidate will have 3+ years of experience with Machine Learning, Predictive Modeling, Statistical Analysis, Mathematical Optimization, Algorithm Development and a passion for working with healthcare data. Previous experience with various computational approaches along with an ability to demonstrate a portfolio of relevant prior projects is essential. This position will report to the UMMS Vice President for Enterprise Data and Analytics (ED&A).

II. Principal Responsibilities and Tasks

• Develops predictive and prescriptive analytic models in support of the organization’s clinical, operations and business initiatives and priorities.
• Deploys solutions so that they provide actionable insights to the organization and are embedded ...",University of Maryland Medical System,"Linthicum, MD",3.4,"Baltimore, MD",10000+ employees,Class A,1984,39,Other Organization,-1,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),Class 3,0,1,0,0,0,0,data scientist,1
2,Data Scientist,80000,90000,85000,0,"KnowBe4, Inc. is a high growth information security company. We are the world's largest provider of new-school security awareness training and simulated phishing. KnowBe4 was created to help organizations manage the ongoing problem of social engineering. Tens of thousands of organizations worldwide use KnowBe4's platform to mobilize their end users as a last line of defense and enable them to make better security decisions, every day.

We are ranked #1 best place to work in technology nationwide by Fortune Magazine and have placed #1 or #2 in The Tampa Bay Top Workplaces Survey for the last four years. We also just had our 27th record-setting quarter in a row!

The Data Scientist will work closely with the VP of FP&A and the Quantitative Analytics Manager to implement advanced analytical models and other data-driven solutions.

Responsibilities:
Work with key stakeholders throughout the organization to identify opportunities using financial data to develop business solutions.
Develop new and enhance existi...",KnowBe4,"Clearwater, FL",4.8,"Clearwater, FL",501 to 1000 employees,Class D,2010,13,Company - Private,-1,Security Services,Business Services,$100 to $500 million (USD),Class 6,1,1,0,1,0,1,data scientist,3
3,Data Scientist,56000,97000,76500,0,"*Organization and Job ID**
Job ID: 310709

Directorate: Earth & Biological Sciences

Division: Biological Sciences

Group: Exposure Science Team
*Job Description**
The Biological System Science (BSS) Group in the Biological Sciences Division of the Pacific Northwest National Laboratory (PNNL) is seeking a staff scientist with multidisciplinary experience in computational chemistry, cheminformatics, advanced statistics and/or machine learning/deep learning/AI. Preferred candidates will have a broad understanding of the state of computational metabolomics and experience in designing and implementing novel deep learning networks for chemistry applications. Research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification is also highly valued. Successful candidates will join a large, uniquely collaborative, collegial group of innovators driving the integration of data science, computational science and analytical chemistry to solve the nations most chall...",PNNL,"Richland, WA",3.8,"Richland, WA",1001 to 5000 employees,Class C,1965,58,Government,"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),Class 5,1,1,0,0,0,0,data scientist,1
4,Data Scientist,86000,143000,114500,0,"Data Scientist
Affinity Solutions / Marketing Cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. We hire the best and brightest and give them the opportunity to work on industry-leading technologies.
The data sciences team at AFS/Marketing Cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. In this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. You'll access our core data asset and machine learning infrastructure to power your ideas.
Duties and Responsibilities
· Support all clients model building needs, including maintaining and improving current mode...",Affinity Solutions,"New York, NY",2.9,"New York, NY",51 to 200 employees,Class F,1998,25,Company - Private,"Commerce Signals, Cardlytics, Yodlee",Advertising & Marketing,Business Services,Unknown,Unknown,1,1,0,0,0,1,data scientist,2
5,Data Scientist,71000,119000,95000,0,"CyrusOne is seeking a talented Data Scientist who holds a range of data-focused skills both in technical and analytical domains. The ideal candidate is adept at processing, cleansing, and verifying the integrity of data used for visualization and analysis. This role is dynamic, granting the candidate the opportunity to participate in a wide variety of projects and collaborate with many cross-functional teams throughout the business.

Duties and Responsibilities:
Participate in an agile scrum cadence
Process, cleanse, and verify the integrity of data used for analysis
Perform functional business requirements analysis and data analysis
Develop data models and algorithms to apply to data sets
Augment data collection procedures to include necessary information for building accurate analytics
Collaborate with stakeholders throughout the organization to identify opportunities for leveraging data to drive business solutions
Evaluate the effectiveness and accuracy of data sources and data gathering techniques
Gath...",CyrusOne,"Dallas, TX",3.4,"Dallas, TX",201 to 500 employees,Class E,2000,23,Company - Public,"Digital Realty, CoreSite, Equinix",Real Estate,Real Estate,$1 to $2 billion (USD),Class 4,1,1,0,0,1,1,data scientist,3
6,Data Scientist,54000,93000,73500,0,"Job Description

**Please only local candidates apply - thank you**

ClearOne Advantage is a fast-growing company that is aggressively hiring due to increased business. We are always improving our marketing, culture and technology to provide our employees with the best work atmosphere and our customers with excellent customer service. COA’s proprietary software is tailored to our industry and allows the client to receive the best service possible.

We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.

If you are looking to work in a team ...",ClearOne Advantage,"Baltimore, MD",4.1,"Baltimore, MD",501 to 1000 employees,Class D,2008,15,Company - Private,-1,Banks & Credit Unions,Finance,Unknown,Unknown,1,0,0,0,0,1,data scientist,1
7,Data Scientist,86000,142000,114000,0,"Advanced Analytics – Lead Data Scientist
Overview


We are looking for a Data Scientist to join our Data Science team to work on interesting projects to help our clients make data driven solutions. As a Data Scientist, you’ll work closely with the clients to understand their business needs, frame them as statistical problems, and solve them with cutting edge techniques. Collaborate with your team, including machine learning engineers, data engineers, analysts, and TPMs to define tasks, provide estimates, and work together to deliver a world class solution. The ideal candidate will have the balance of technical skills and business acumen to help the client better understand their core needs while understanding technical limitations.

About you…
Experience partnering & communicating with executive management team to understand business needs and pain points
Ability to communicate data science concepts to business stakeholders
Passion for the application of machine learning to real world problems
Adept at dev...",Logic20/20,"San Jose, CA",3.8,"Seattle, WA",201 to 500 employees,Class E,2005,18,Company - Private,-1,Consulting,Business Services,$25 to $50 million (USD),Class 8,0,1,0,1,1,1,data scientist,4
8,Research Scientist,38000,84000,61000,0,"SUMMARY

The Research Scientist I will be tasked with oversight of research in the Division of Cancer Biology Research at the Rochester General Hospital Research Institute.

A strong background in Molecular Biology or Cancer Biology Research is preferred. Mouse models will be used in the research.

STATUS: Full Time

LOCATION: RGH Research Institute

DEPARTMENT: Cancer Biology

SCHEDULE: Monday-Friday; Days

ATTRIBUTES
MD or PhD who is not self supporting of their own salary nor has their own research program
Functions with minimal direction from Research Scientist II, Senior Research Scientist or Laboratory Director.
Strong analytical, computer, leadership and problem-solving skills
RESPONSIBILITIES
Conducts research projects including complex experiments, some in parallel, utilizing current concepts and recognized standard techniques, developing new protocols as necessary
Demonstrates a high level of initiative in performing experiments, analyzing data and drawing conclusions regarding progress and resul...",Rochester Regional Health,"Rochester, NY",3.3,"Rochester, NY",10000+ employees,Class A,2014,9,Hospital,-1,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),Class 5,1,0,0,0,0,0,na,0
9,Data Scientist,120000,160000,140000,0,"isn’t your usual company. Our work is powered by the premise that every person at is unique, possessing a distinct set of skills, personality, and passions. We embrace our collective talents to tackle technical challenges, refine our successfully disruptive business ideas, and co-create one of the most human and inspiring work cultures out there. We are a team of collaborators, valuing and rewarding shared success over individual heroics.
As a member of our Data Science team, you will use your quantitative expertise to identify new areas of research and optimization, and then see those ideas through to production. Data Science is a fundamental contributor to Intent’s success - your work will have a direct and tangible impact on the business.
There are no typical projects, but a workflow might involve performing research and analysis against petabytes of historical data using our collection of large-scale analytics tools like Spark, Snowflake, and RedShift, building prototypes using mostly Scala or another ...",<intent>,"New York, NY",4.6,"New York, NY",51 to 200 employees,Class F,2009,14,Company - Private,"Clicktripz, SmarterTravel",Internet,Information Technology,$100 to $500 million (USD),Class 6,1,1,0,1,0,0,data scientist,2
